a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;
115.91;115.91;1043.15;1.623;1;1;1;1;9;60449600;
113.85;113.85;1024.66;1.594;0.95;1;1;1;9;60449600;
111.9;111.9;1007.09;1.567;0.9;1;1;1;9;60449600;
110.04;110.04;990.4;1.541;0.85;1;1;1;9;60449600;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
